lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
-65.6031470221,-75.2761946948,MKIB,igs08,ant,10.673,11.625,0.247,0.316,10.992,10.982,0.0,-0.319,0.643
-109.8888265829,-75.2685223169,MMRP,igs08,ant,20.535,13.85,0.916,1.681,16.812,3.789,0.0,3.723,10.061
-115.1021345391,-74.180405177,MRTP,igs08,ant,17.653,7.052,0.359,0.361,17.421,2.697,0.0,0.232,4.355
-112.8000107066,-76.3150413833,MTAK,igs08,ant,14.124,-4.755,0.357,0.381,16.664,3.182,0.0,-2.54,-7.937
162.5338246044,-78.5202398859,MTCX,igs08,ant,8.093,-12.36,3.574,1.843,8.377,-11.69,0.0,-0.284,-0.67
167.1471448916,-77.5219608596,NAU1,igs08,ant,9.82,-14.244,0.229,0.369,9.624,-11.308,0.0,0.196,-2.936
167.146786296,-77.5218514868,NAU2,igs08,ant,9.831,-11.031,0.258,0.496,9.624,-11.308,0.0,0.207,0.277
-57.901330507,-63.3210804511,OHI2,igs08,ant,15.624,9.905,0.282,0.285,13.373,11.454,0.0,2.251,-1.549
-57.901383163,-63.3210916567,OHI3,igs08,ant,15.888,9.631,0.212,0.276,13.373,11.454,0.0,2.515,-1.823
-57.9003407563,-63.3207234235,OHIG,igs08,ant,13.475,9.329,0.882,0.905,13.373,11.454,0.0,0.102,-2.125
-57.9001554292,-63.3209569292,OHIZ,igs08,ant,14.972,6.576,0.884,1.745,13.373,11.454,0.0,1.599,-4.878
-64.0511196767,-64.7750891135,PAL2,igs08,ant,13.194,10.348,0.151,0.21,13.978,11.092,0.0,-0.784,-0.744
-64.0511210124,-64.7750895712,PALM,igs08,ant,12.947,10.461,0.127,0.182,13.978,11.092,0.0,-1.031,-0.631
-64.0511203029,-64.7750893253,PALV,igs08,ant,12.727,10.029,0.229,0.325,13.978,11.092,0.0,-1.251,-1.063
-155.0228855379,-78.0300463527,PATN,igs08,ant,15.25,-5.435,0.396,0.274,15.165,-5.734,0.0,0.085,0.299
-68.5563189054,-85.6119186814,PECE,igs08,ant,8.946,10.161,0.421,0.405,7.992,10.675,0.0,0.954,-0.514
167.049922259,-77.5254947787,PHIG,igs08,ant,8.918,-11.317,0.376,0.215,9.604,-11.316,0.0,-0.686,-0.001
-85.142566008,-81.1032060293,PIRT,igs08,ant,10.844,8.712,0.189,0.262,12.323,8.402,0.0,-1.479,0.31
-65.3393484471,-66.0067160598,PRPT,igs08,ant,14.9,10.054,0.222,0.272,13.843,10.988,0.0,1.057,-0.934
178.0471166569,-84.3384258303,RAMG,igs08,ant,9.233,-10.496,0.172,0.166,9.292,-10.119,0.0,-0.059,-0.377
167.1705764022,-77.5287724767,RAYG,igs08,ant,8.817,-11.023,0.799,0.545,9.626,-11.306,0.0,-0.809,0.283
-66.3938786324,-83.8732394569,RMBO,igs08,ant,7.907,10.705,0.181,0.226,8.203,10.907,0.0,-0.296,-0.202
